,Sr.No,States/UT,Confirmed,Recovered,Deceased,Date
0,1,Andhra Pradesh,305,5,4,2020-04-09
1,2,Andaman and Nicobar Islands,10,0,0,2020-04-09
2,3,Arunachal Pradesh,1,0,0,2020-04-09
3,4,Assam,27,0,0,2020-04-09
4,5,Bihar,38,0,1,2020-04-09
5,6,Chandigarh,18,7,0,2020-04-09
6,7,Chhattisgarh,10,9,0,2020-04-09
7,8,Delhi,576,21,9,2020-04-09
8,9,Goa,7,0,0,2020-04-09
9,10,Gujarat,165,25,13,2020-04-09
10,11,Haryana,147,28,3,2020-04-09
11,12,Himachal Pradesh,18,2,1,2020-04-09
12,13,Jammu and Kashmir,116,4,2,2020-04-09
13,14,Jharkhand,4,0,0,2020-04-09
14,15,Karnataka,175,25,4,2020-04-09
15,16,Kerala,336,70,2,2020-04-09
16,17,Ladakh,14,10,0,2020-04-09
17,18,Madhya Pradesh,229,0,13,2020-04-09
18,19,Maharashtra,1018,79,64,2020-04-09
19,20,Manipur,2,0,0,2020-04-09
20,21,Mizoram,1,0,0,2020-04-09
21,22,Odisha,42,2,1,2020-04-09
22,23,Puducherry,5,1,0,2020-04-09
23,24,Punjab,91,4,7,2020-04-09
24,25,Rajasthan,328,21,3,2020-04-09
25,26,Tamil Nadu,690,19,7,2020-04-09
26,27,Telengana,427,35,7,2020-04-09
27,28,Tripura,1,0,0,2020-04-09
28,29,Uttarakhand,31,5,0,2020-04-09
29,30,Uttar Pradesh,343,26,3,2020-04-09
30,31,West Bengal,99,13,5,2020-04-09
